headerdatestamp|headeridentifier|headersetSpec|metadata.oai_dc:dc.dc:format.0|metadata.oai_dc:dc.dc:format.1|metadata.oai_dc:dc.dc:identifier.0|metadata.oai_dc:dc.dc:identifier.1|metadata.oai_dc:dc.dc:subject.0|metadata.oai_dc:dc.dc:subject.1|metadata.oai_dc:dc@xmlns:dc|metadata.oai_dc:dc@xmlns:oai_dc|metadata.oai_dc:dc@xmlns:xsi|metadata.oai_dc:dc@xsi:schemaLocation|metadata.oai_dc:dcdc:contributor|metadata.oai_dc:dcdc:coverage|metadata.oai_dc:dcdc:creator|metadata.oai_dc:dcdc:date|metadata.oai_dc:dcdc:description|metadata.oai_dc:dcdc:format|metadata.oai_dc:dcdc:identifier|metadata.oai_dc:dcdc:language|metadata.oai_dc:dcdc:publisher|metadata.oai_dc:dcdc:rights|metadata.oai_dc:dcdc:source|metadata.oai_dc:dcdc:subject|metadata.oai_dc:dcdc:title|metadata.oai_dc:dcdc:type
2017-08-14|oai:collections.lib.utah.edu:uu_uap/716304|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|1891-05|"""The Kirk"" (33 5/8"" by 23 1/2"") painted for Joe Coates, donated to Springville Art Museum by Eva and Viv McQueary, restored by the Spens Family Heritage Organization, $700, Signed May 91 N.S."|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s6t43swn|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensTheKirk|    
2017-06-29|oai:collections.lib.utah.edu:uu_uap/716302|uu_uap|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Spens, Nathanial Irving, 1838-1916.|    |"""The Challenge"" diemnsions unknown, owned and restored by Reo Lloyd, Mosco Idaho"|image/jpeg|https://collections.lib.utah.edu/ark:/87278/s62n523r|    |J. Willard Marriott Library, University of Utah|    |    |    |NSpensTheChallenge|    
2011-10-26|oai:collections.lib.utah.edu:uu_uap/716243|uu_uap|    |    |005-Rounds_Kirkland Temple.tif|https://collections.lib.utah.edu/ark:/87278/s6pn95fk|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Rounds, Al|    |    |image/jpeg|    |    |J. Willard Marriott Library, University of Utah|Digital Image Copyright University of Utah|    |    |005-Rounds_Kirkland Temple|Image/StillImage
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716311|uu_uap|image/jpeg|"Acrylic on canvas, 30""x46"""|1.Attack on a Malted Milkball Factory|https://collections.lib.utah.edu/ark:/87278/s6ww7hgp|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1974|    |    |    |    |    |    |    |    |Attack on a Malted Milkball Factory|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716312|uu_uap|image/jpeg|"oil on canvas, 20""x30"""|10.Fanned|https://collections.lib.utah.edu/ark:/87278/s6s46rr8|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |Fanned|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716313|uu_uap|image/jpeg|"oil on canvas, 40""x84"""|14. Ah...The Blue|https://collections.lib.utah.edu/ark:/87278/s6nc611b|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1980|    |    |    |    |    |    |    |    |Ah...The Blue|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716314|uu_uap|image/jpeg|"oil on canvas, 48""x44"""|12.O Childhood...|https://collections.lib.utah.edu/ark:/87278/s6hq3zp3|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1978|    |    |    |    |    |    |    |    |"""O Childhood, o images slipping from us"""|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716315|uu_uap|image/jpeg|"oil on canvas, 16""x20"""|15.Sea Shells III|https://collections.lib.utah.edu/ark:/87278/s6cz36zr|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1981|    |    |    |    |    |    |    |    |Sea Shells III|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716316|uu_uap|image/jpeg|"36""x72"""|13.Mary Van Winkle|https://collections.lib.utah.edu/ark:/87278/s6862g86|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1979|    |    |    |    |    |    |    |    |Portrait of Mary Van Winkle|    
2011-07-08|oai:collections.lib.utah.edu:uu_uap/716317|uu_uap|image/jpeg|"oil on canvas, 32""x46"""|11.Simone|https://collections.lib.utah.edu/ark:/87278/s64f1qjg|    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |Fawson, Steven J.|1977|    |    |    |    |    |    |    |    |Simone Simonian|    
